wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
67988183,The_Invisible_Life_of_Addie_LaRue,The Invisible Life of Addie LaRue,The Invisible Life of Addie LaRue,https://covers.openlibrary.org/b/olid/OL46309189M-L.jpg
67648999,Project_Hail_Mary,Project Hail Mary,Project Hail Mary,https://covers.openlibrary.org/b/olid/OL50528652M-L.jpg
67649160,The_Midnight_Library,The Midnight Library,The Midnight Library,https://covers.openlibrary.org/b/olid/OL34115610M-L.jpg
70644669,I'm_Glad_My_Mom_Died,I'm Glad My Mom Died,I'm Glad My Mom Died,https://covers.openlibrary.org/b/olid/OL39491091M-L.jpg
65318510,Piranesi_(novel),Piranesi (novel),Piranesi,
64993113,The_Vanishing_Half,The Vanishing Half,The Vanishing Half,https://covers.openlibrary.org/b/olid/OL29497954M-L.jpg
74108155,Fourth_Wing,Fourth Wing,Fourth Wing,https://covers.openlibrary.org/b/olid/OL51105571M-L.jpg
61964991,The_Ballad_of_Songbirds_and_Snakes,The Ballad of Songbirds and Snakes,The Ballad of Songbirds and Snakes,https://covers.openlibrary.org/b/olid/OL28122267M-L.jpg
71511381,Lessons_in_Chemistry,Lessons in Chemistry,Lessons in Chemistry,https://covers.openlibrary.org/b/olid/OL34992463M-L.jpg
69480879,Beach_Read,Beach Read,Beach Read,https://covers.openlibrary.org/b/olid/OL40138664M-L.jpg
69566321,The_Love_Hypothesis,The Love Hypothesis,The Love Hypothesis,https://covers.openlibrary.org/b/olid/OL36010073M-L.jpg
68171272,Malibu_Rising,Malibu Rising,Malibu Rising,https://covers.openlibrary.org/b/olid/OL37676788M-L.jpg
72262422,"Tomorrow,_and_Tomorrow,_and_Tomorrow","Tomorrow, and Tomorrow, and Tomorrow","Tomorrow, and Tomorrow, and Tomorrow",https://covers.openlibrary.org/b/olid/OL39374639M-L.jpg
16307144,Babel_(book),Babel (book),Babel,
69564299,The_Inheritance_Games,The Inheritance Games,The Inheritance Games,
62893948,American_Dirt,American Dirt,American Dirt,https://covers.openlibrary.org/b/olid/OL34093082M-L.jpg
70743851,The_Four_Winds_(Mesopotamian),The Four Winds (Mesopotamian),The Four Winds,
65275767,Mexican_Gothic,Mexican Gothic,Mexican Gothic,https://covers.openlibrary.org/b/olid/OL28091195M-L.jpg
74712294,Book_Lovers,Book Lovers,Book Lovers,
42492761,The_Guest_List,The Guest List,The Guest List,
63600090,Hamnet_(novel),Hamnet (novel),Hamnet,https://covers.openlibrary.org/b/olid/OL28057581M-L.jpg
66113099,The_Thursday_Murder_Club,The Thursday Murder Club,The Thursday Murder Club,https://covers.openlibrary.org/b/olid/OL39552270M-L.jpg
68092531,A_Deadly_Education,A Deadly Education,A Deadly Education,https://covers.openlibrary.org/b/olid/OL29514724M-L.jpg
67528254,Crying_in_H_Mart,Crying in H Mart,Crying in H Mart,https://covers.openlibrary.org/b/olid/OL32902199M-L.jpg
70786148,Sea_of_Tranquility_(novel),Sea of Tranquility (novel),Sea of Tranquility,https://covers.openlibrary.org/b/olid/OL38056706M-L.jpg
66201249,Klara_and_the_Sun,Klara and the Sun,Klara and the Sun,https://covers.openlibrary.org/b/olid/OL33802423M-L.jpg
64784106,Caste:_The_Origins_of_Our_Discontents,Caste: The Origins of Our Discontents,Caste: The Origins of Our Discontents,
75234545,Loveless_(novel),Loveless (novel),Loveless,https://covers.openlibrary.org/b/olid/OL36742667M-L.jpg
69148108,One_of_Us_Is_Next,One of Us Is Next,One of Us Is Next,https://covers.openlibrary.org/b/olid/OL27900824M-L.jpg
69090338,Network_Effect_(novel),Network Effect (novel),Network Effect,https://covers.openlibrary.org/b/olid/OL29831122M-L.jpg
69559295,People_We_Meet_on_Vacation,People We Meet on Vacation,People We Meet on Vacation,https://covers.openlibrary.org/b/olid/OL38449509M-L.jpg
63500251,The_Glass_Hotel,The Glass Hotel,The Glass Hotel,https://covers.openlibrary.org/b/olid/OL28940511M-L.jpg
65427693,Chain_of_Gold,Chain of Gold,Chain of Gold,https://covers.openlibrary.org/b/olid/OL34573534M-L.jpg
65712181,Shuggie_Bain,Shuggie Bain,Shuggie Bain,https://covers.openlibrary.org/b/olid/OL34225488M-L.jpg
65218155,Transcendent_Kingdom,Transcendent Kingdom,Transcendent Kingdom,https://covers.openlibrary.org/b/olid/OL28092900M-L.jpg
65325971,Legendborn,Legendborn,Legendborn,https://covers.openlibrary.org/b/olid/OL29862585M-L.jpg
64060136,Untamed_(memoir),Untamed (memoir),Untamed,
70303476,The_Burning_God,The Burning God,The Burning God,https://covers.openlibrary.org/b/olid/OL35550521M-L.jpg
