wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
62438875,Blinding_Lights,Blinding Lights,Blinding Lights,http://coverartarchive.org/release/6e560572-8fc0-4f53-bde3-75d844cce6f5/24754974144-500.jpg
52788441,Shape_of_You,Shape of You,Shape of You,http://coverartarchive.org/release/1308acf9-a4af-4f1e-ab8c-341509262809/15618217317-500.jpg
59565094,Someone_You_Loved,Someone You Loved,Someone You Loved,https://coverartarchive.org/release/a84e4599-69aa-44e2-b706-89c7602703d5/38818147833-500.jpg
70413964,As_It_Was,As It Was,As It Was,http://coverartarchive.org/release/f0a5d0bd-7abb-446d-a319-bd127abf42ad/32124017845-500.jpg
53056039,Believer_(Imagine_Dragons_song),Believer (Imagine Dragons song),Believer,http://coverartarchive.org/release/9e182980-1696-4064-9071-6fe727128c02/15835209152-500.jpg
68012133,Stay_(The_Kid_Laroi_and_Justin_Bieber_song),Stay (The Kid Laroi and Justin Bieber song),Stay,http://coverartarchive.org/release/c5b4cc22-8f29-4c21-8d01-0f9a91b48000/36018419107-500.jpg
52836376,Perfect_(Ed_Sheeran_song),Perfect (Ed Sheeran song),Perfect,http://coverartarchive.org/release/6764f2cb-1558-4bfb-82da-4ad883efc5b5/19203661534-500.jpg
66144422,Heat_Waves,Heat Waves,Heat Waves,http://coverartarchive.org/release/532c81ff-1867-43f3-ac21-3f1ecfa2db07/26608390428-500.jpg
57173196,Lovely_(Billie_Eilish_and_Khalid_song),Lovely (Billie Eilish and Khalid song),lovely,http://coverartarchive.org/release/e2724301-a54a-4c08-b0a5-eabaa6701a70/19663783382-500.jpg
60795189,Dance_Monkey,Dance Monkey,Dance Monkey,http://coverartarchive.org/release/b66b6c7c-934f-46ee-b167-f2567f5f179b/32449646221-500.jpg
62137124,Watermelon_Sugar,Watermelon Sugar,Watermelon Sugar,http://coverartarchive.org/release/01fb6758-1fac-4f35-a978-39ff256191db/24649393443-500.jpg
51700967,Starboy_(song),Starboy (song),Starboy,http://coverartarchive.org/release/8d0ce4f7-19ca-4551-8137-1f2795da3258/29173409048-500.jpg
50054820,One_Dance,One Dance,One Dance,http://coverartarchive.org/release/e2f55bbb-a03a-4f83-8122-a536406a1e69/13330683772-500.jpg
