title,author
The Invisible Life of Addie LaRue,V.E.  Schwab
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune
Project Hail Mary,Andy Weir
The Midnight Library,Matt Haig
I'm Glad My Mom Died,Jennette McCurdy
Piranesi,Susanna Clarke
The Vanishing Half,Brit Bennett
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins
My Dark Vanessa,Kate Elizabeth Russell
Lessons in Chemistry,Bonnie Garmus
Beach Read,Emily Henry
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas
The Love Hypothesis,Ali Hazelwood
Malibu Rising,Taylor Jenkins Reid
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
Babel,R.F. Kuang
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes
American Dirt,Jeanine Cummins
The Four Winds,Kristin Hannah
Mexican Gothic,Silvia Moreno-Garcia
Book Lovers,Emily Henry
The Guest List,Lucy Foley
Under the Whispering Door,T.J. Klune
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman
Hamnet,Maggie O'Farrell
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman
"A Deadly Education (The Scholomance, #1)",Naomi Novik
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas
Crying in H Mart,Michelle Zauner
Sea of Tranquility,Emily St. John Mandel
Klara and the Sun,Kazuo Ishiguro
Caste: The Origins of Our Discontents,Isabel Wilkerson
Carrie Soto Is Back,Taylor Jenkins Reid
Remarkably Bright Creatures,Shelby Van Pelt
Loveless,Alice Oseman
"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus
"Network Effect (The Murderbot Diaries, #5)",Martha Wells
People We Meet on Vacation,Emily Henry
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman
The Glass Hotel,Emily St. John Mandel
"Chain of Gold (The Last Hours, #1)",Cassandra Clare
Bell Hammers,Lancelot Schaubert
