title,artist
Blinding Lights,The Weeknd
Shape of You,Ed Sheeran
Someone You Loved,Lewis Capaldi
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
As It Was,Harry Styles
Believer,Imagine Dragons
Stay,The Kid LAROI
Perfect,Ed Sheeran
Heat Waves,Glass Animals
lovely,Billie Eilish
Dance Monkey,Tones And I
Watermelon Sugar,Harry Styles
Starboy,The Weeknd
One Dance,Drake
Sweater Weather,The Neighbourhood
Say You Won't Let Go,James Arthur
Señorita,Shawn Mendes
rockstar,Post Malone
Don't Start Now,Dua Lipa
Another Love,Tom Odell
Flowers,Miley Cyrus
Circles,Post Malone
bad guy,Billie Eilish
Cold Heart - PNAU Remix,Elton John
Lucid Dreams,Juice WRLD
Kill Bill,SZA
Closer,The Chainsmokers
Save Your Tears,The Weeknd
Shallow,Lady Gaga
Cruel Summer,Taylor Swift
Riptide,Vance Joy
La Bachata,Manuel Turizo
Counting Stars,OneRepublic
I Wanna Be Yours,Arctic Monkeys
INDUSTRY BABY,Lil Nas X
Die For You,The Weeknd
goosebumps,Travis Scott
I'm Good (Blue),David Guetta
good 4 u,Olivia Rodrigo
Something Just Like This,The Chainsmokers
Me Porto Bonito,Bad Bunny
drivers license,Olivia Rodrigo
Levitating,Dua Lipa
I Ain't Worried,OneRepublic
Yellow,Coldplay
7 rings,Ariana Grande
SAD!,XXXTENTACION
Jocelyn Flores,XXXTENTACION
Anti-Hero,Taylor Swift
All I Want for Christmas Is You,Mariah Carey
Bohemian Rhapsody - Remastered 2011,Queen
Take Me To Church,Hozier
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
Seven,Jung Kook
God's Plan,Drake
MONTERO (Call Me By Your Name),Lil Nas X
SICKO MODE,Travis Scott
Ghost,Justin Bieber
Roses - Imanbek Remix,SAINt JHN
Dynamite,BTS
Memories,Maroon 5
No Role Modelz,J. Cole
Dandelions,Ruth B.
Mood,24kGoldn
Easy On Me,Adele
Bad Habits,Ed Sheeran
DÁKITI,Bad Bunny
Unholy,Sam Smith
Kiss Me More,Doja Cat
Happier,Marshmello
Havana,Camila Cabello
Calm Down,Rema
All of Me,John Legend
Without Me,Eminem
Thinking out Loud,Ed Sheeran
Heather,Conan Gray
Tití Me Preguntó,Bad Bunny
The Box,Roddy Ricch
Shivers,Ed Sheeran
Creepin',Metro Boomin
I Don't Care,Ed Sheeran
Photograph,Ed Sheeran
Better Now,Post Malone
One Kiss,Calvin Harris
Last Christmas,Wham!
ROCKSTAR,DaBaby
Peaches,Justin Bieber
greedy,Tate McRae
Thunder,Imagine Dragons
Without Me,Halsey
Ojitos Lindos,Bad Bunny
The Hills,The Weeknd
Before You Go,Lewis Capaldi
505,Arctic Monkeys
New Rules,Dua Lipa
Woman,Doja Cat
"thank u, next",Ariana Grande
Yonaguni,Bad Bunny
Beggin',Måneskin
Pepas,Farruko
Despacito - Remix,Luis Fonsi
Girls Like You,Maroon 5
Do I Wanna Know?,Arctic Monkeys
XO TOUR Llif3,Lil Uzi Vert
Ella Baila Sola,Eslabon Armado
Daylight,David Kushner
deja vu,Olivia Rodrigo
when the party's over,Billie Eilish
Bones,Imagine Dragons
Moonlight,XXXTENTACION
Paint The Town Red,Doja Cat
I Love You So,The Walters
HUMBLE.,Kendrick Lamar
Efecto,Bad Bunny
Old Town Road - Remix,Lil Nas X
death bed,Powfu
ROXANNE,Arizona Zervas
Demons,Imagine Dragons
Adore You,Harry Styles
Falling,Trevor Daniel
Unforgettable,French Montana
Love Yourself,Justin Bieber
Tusa,KAROL G
Congratulations,Post Malone
I Like Me Better,Lauv
traitor,Olivia Rodrigo
Youngblood,5 Seconds of Summer
Blank Space,Taylor Swift
Eastside,benny blanco
Romantic Homicide,d4vd
Snooze,SZA
vampire,Olivia Rodrigo
Wow.,Post Malone
Sweet but Psycho,Ava Max
